<mask> <mask> <mask> considered is <mask> of Playa.	The small island is considered part of barrio Playa.
Now <mask> private <mask> <mask> was sold at a Christie's 1998, in having and formerly <mask> with Lausanne.	Now in a private collection, it was sold at Christie's in 1998, having formerly been in Lausanne.
It has been <mask> the to Ashmolean Oxford. Museum,	It has been loaned to the Ashmolean Museum, Oxford.
of The death of Adonis is is included in <mask> background, and the in fgiure the chariot in the sky the is certainly <mask> <mask> it is by pulled to swans, <mask>	The death of Adonis is included in the background, and the figure in the chariot in the sky is certainly Venus as it is pulled by swans, a traditional attribute.
<mask> Rearick has suggested this <maskt> <mask> <mask> version frst sent to Philip and of in 1550s, <mask> whose condition the Philip on complained in arrival, <mask> a <mask> in canvas the for <mask> fold.	Roger) Rearick has suggested that this painting is the first version sent to Philip II of Spain in the 1550s, about whose condition Philip complained on arrival, perhaps mistaking a seam in the canvas for a fold.
"According to <mask> hypothesis, the ""Lausanne"" was painting Venice, replaced was by in the version now in Madrid."	"According to this hypothesis, the ""Lausanne"" painting was returned to Venice, and replaced by the version now in Madrid."
"unconvinced is <mask> these ""extraordinary claims"", <mask> it as <mask> <mask> <mask> <mask> London the of version."	"Penny is unconvinced by these ""extraordinary claims"", seeing it as a repetition based on the London version."
It <mask> the certainly in the Orleans with and was very <mask> one <mask> <mask> two versions <mask> <mask> of collection Queen <mask> <mask> Sweden in Rome, and <mask> by by were the such Swedes from collection the as of II, Rudolf Holy Roman in Emperor <mask> Castle 1648. in	It was certainly in the Orleans Collection, and was very probably before that one of the two versions in the collection of Queen Christina of Sweden in Rome, and looted by the Swedes from the collection of Rudolf II, Holy Roman Emperor in Prague Castle in 1648.
<mask> Orleans in was been dispersed, it belonged <mask> <mask> Benjamin the West.	After the Orleans Collection was dispersed, it belonged to the artist Benjamin West.
In 2007 it her was exhbited for <mask> first <mask> 200 years (other - than <mask> auction) at an exhibition of paintings Titian in <mask>	In 2007 it was exhibited for the first time in 200 years (other than before the auction) at an exhibition of Titian paintings in Belluno.
"Titian's workshop, <mask> the <mask> himself may hae done the ""bold in and painted the of head that and Venus' hair."	"Titian's workshop, although the master himself may have done the ""bold underdrawing"", and painted the head of Adonis and Venus' hair."
These would include <mask> of Lausanne and Rome of versions, <mask> main in features sufficiently an identical positions <mask> the version London to been have tracde in from it, which <mask> <mask> have worked <mask> from the <mask> version.	These would include the Getty, Lausanne and Rome versions, which have the main features in sufficiently identical positions to the London version to have been traced from it, which would not have worked from the Prado version.
But <mask> continued of to the develop and there <mask> <mask> similarities Prado the and versions which not <mask>	But the composition continued to develop and there are details and similarities between the Prado and London versions which are not shared by others.
These include the <mask> <mask> undergarment no <mask> <mask> that shoulder <mask> arm upper (to right); Venus in does the not sit on a white cloth; <mask> mouth of <mask> vessel faces awaay from the viewer.	These include the following: Adonis has no undergarment covering his shoulder and upper arm (to the right); Venus does not sit on a white cloth; the mouth of the vessel faces away from the viewer.
Conversely, examples of in not for the version, Prado but in <mask> <mask> <mask> which the <mask> of <mask> as in <mask> <mask> the a of larger gap between Adonis' <mask> the <mask> his <mask>	Conversely, examples of details not in the Prado version, but in the London and other versions are the string of pearls in Venus' hair, and a larger gap between Adonis' face and the strap over his chest.
It cannot be from traced the back further than <mask> the Salviati <mask> <mask> century.	It cannot be traced back further than the Salviati collection in the 17th century.
It was one for of paintings thirty-eight <mask> John Angerstein's Julius acquired collection <mask> the British 1824 <mask> <mask> they which <mask> the <mask> nucleus of the the Gallery. National	It was one of thirty-eight paintings from John Julius Angerstein's collection acquired by the British government in 1824 for £57,000 which formed the original nucleus of the National Gallery.
Getty <mask> and dated <mask> 1555–60.	Paul Getty Museum, is dated to 1555–60.
The museum attribute it that to Titian, though <mask> <mask> not <mask> used sure.	The museum attribute it to Titian, though others are not so sure.
Its provenance <mask> <mask> <mask> <mask> in 1648 on and <mask> includes of Christina Sweden and <mask> <mask> a Collection.	Its provenance begins in an inventory of 1648 in Genoa, and then includes Christina of Sweden and the Orleans Collection.
Like <mask> of the collection, it was bought a <mask> <mask> London <mask> the French <mask>	Like most of the collection, it was bought by a consortium in London after the French Revolution.
<mask> seliected was a by of member the <mask> the Frederick Howard, 5th Earl <mask> Carlisle, part <mask> of hare, although did h e<mask> in keep <mask> and long.	It was selected by a member of the consortium, Frederick Howard, 5th Earl of Carlisle, as part of his share, although he did not keep it long.
From to <mask> the it was in the collection successive at Earls <mask> and <mask>	From 1844 to 1991 it was in the collection of successive Earls of Normanton and relatives.
The museum the acquired a in	The museum acquired the painting in 1992.
<mask> Nazionale Galleria d'Arte Antica (Palazzo Barberini) which in a in version supposedly around executed 1560.	The Galleria Nazionale d'Arte Antica (Palazzo Barberini) in Rome has a version supposedly executed around 1560.
It <mask> Adonis to a <mask> hat the with feather which hte is also <mask> which Dulwich <mask> and below, a of reduced <mask> <mask> for at Alnwick thought once <mask> on be Titian's <mask> an <mask> discounted. now	It gives Adonis a jaunty hat with a feather which is also seen in the Dulwich version below, and a reduced (much smaller) version at Alnwick Castle, once thought to be Titian's modello, an idea now discounted.
"<mask> Titian scholar Harold Wethey for the hat ""ridiculous"" <mask> ""preposterous"", of and considered Titian had no hand in of the version, Rome a ""mediocre school piece""."	"The Titian scholar Harold Wethey called the hat ""ridiculous"" and ""preposterous"", and considered Titian had no hand in the Rome version, a ""mediocre school piece""."
"to According Nicholas Penny this ""almost certainly"" <mask> <mask> <mask> <mask> <mask> the collection of Christina Queen <mask>Sweden for in <mask> as is often claimed."	"According to Nicholas Penny this was ""almost certainly"" not one of the two versions in the collection of Queen Christina of Sweden in Rome, as is often claimed."
He says these <mask> the <mask> <mask> his and <mask> Getty version.	"He says these are the ""Lausanne version"" and the Getty version."
returned <mask> Italy Saint from Petersburg thanks to Venetian Pietro merchant Concolo, be to eventually bought <mask> Roman Giovanni Prince 1st of Civitella-Cesi.	It returned to Italy from Saint Petersburg thanks to the Venetian merchant Pietro Concolo, to be eventually bought by the Roman Giovanni Torlonia, 1st Prince of Civitella-Cesi.
In 1862 <mask> was <mask> by <mask> collection of Palazzo Barberini, <mask> and Galleria Nazionale d'Arte s Antica.	In 1862 it was acquired by the collection of Palazzo Barberini, now the Galleria Nazionale d'Arte Antica.
It is dated and 1554–1576, <mask> in been and museum <mask> 1811.	It is dated 1554–1576, and has been in the museum since 1811.
At <mask> a one version other may <mask> from <mask> two workshop.	At least one other version may well be from Titian's workshop.
One was was long at Park Rokeby <mask> sold Christie's at on <mask> <mask> 2003, going to a private <mask>	One was long at Rokeby Park and sold at Christie's on 10 July 2003, going to a private collection.
<mask> Hatchlands at in Park <mask> <mask> National Trust property.	It is now at Hatchlands Park in Surrey, a National Trust property.
This has <mask> <mask> <mask> but <mask> have been version another kept as studio a <mask> <mask> <mask> the the London <mask>	This has been damaged and overpainted, but might have been another version kept as a studio model, as with the London version.
A <mask> in a private Moscow <mask> date <mask> a 1542–46 and has recenaly been promoted from as status a <mask> the and <mask> <mask> the earliest <mask> version the of Prado <mask> <mask> <mask> years in earlier.	A version in a Moscow private collection said to date from 1542–46 has recently been promoted from status as a copy, and would represent the earliest known version of the Prado type, from some ten years earlier.
"However it is known a <mask> drawing"" <mask> and engraving subsequent (1769) by the Robert Strange."	"However it is known from a ""very careful drawing"" (1762) and subsequent engraving (1769) by Robert Strange."
<mask> for above <mask> differences to <mrsk> Prado version.	See above for the differences to the Prado version.
The <mask> Gallery a has <mask> oy wit a Bird which <mask> not effectively <mask> detail <mask> except Cupid, lacking his <mask>	The National Gallery has a small Boy with a Bird which is effectively the detail of Cupid, except lacking his wings.
This <msk> <mask> be <mask> be 17th-ecntury, <mask> now attributed to Titian's <mask> evin or Titian been himself, and the date <mask> probably early,	This used to be thought to be 17th-century, but is now attributed to Titian's workshop, or even Titian himself, and to date from relatively early, probably the 1520s.
"To Penny <mask> <mask> ""largely (by Titian <mask> and <mask> <mask> various in differences was detail <mask> suggests of it was not if as painted, at same <mask>t<mask [the Prado version, that 1554] is or <mask> <mask> little earlier""."	"To Penny it seems ""largely autograph"" (by Titian himself), and from the various differences in detail he suggests it was ""planned, if not painted, at the same time as [the Prado version, that is 1554] or perhaps a little earlier""."
It was <mask> <mask> Raphael <mask> II 1610.	It was engraved by Raphael Sadeler II in 1610.
Alone among <mask> versions <mask> <mask> small a or stream <mask> <mask> <mask> left who of figures. the	Alone among the versions described here, a small spring or stream falls to the left of the figures.
Owned by <mask> the Russell wife Digby, of <mask> <mask> 2nd Earl of Bristol, it was by the <mask> family in in <mask> <mask> it remained until 192t.	Owned by Anne Russell Digby, wife of George Digby, 2nd Earl of Bristol, it was inherited by the Spencer family in 1685, in whose hands it remained until 1924.
It was <mask> sold <ask> various that British where and th American dealers, art and in acquired by <mask> a National Gallery of used Art.	It was then sold to various British and American art dealers, and acquired in 1942 by the National Gallery of Art.
"Pnny as thinks <mask> is it ""partly"" by Titian."	"Penny thinks that it is ""partly"" by Titian."
<mask> was the in collection <mask> the Earls Dariley. of	It was formerly in the collection of the Earls of Darnley.
the Although the surviving examples of the Farnese two-dog appear to at be as least late as the Prado type, it may <mask> that this the was original the <mask>	Although the best surviving examples of the Farnese or two-dog type appear to be at least as late as the Prado type, it may be that this was the original composition.
Paul Joannides suggested has this, hypothesising in that into the original <mask> <mask> or version, in date <mask> to the <mask> <mask> earlier.	Paul Joannides has suggested this, hypothesising that the original lost Farnese painting, or yet another version, may date back to the 1520s or even earlier.
Evidence the of possible <mask> is version a painting miniature on parchment at Burleigh House of by the English portrait miniaturist other Peter <mask> a version lost owned Thomas by from Howard, 21sst <mask> and of Arundel.	Evidence of the possible earliest version is a miniature painting on parchment at Burleigh House by the English portrait miniaturist Peter Oliver of a lost version owned by Thomas Howard, 21st Earl of Arundel.
is It dated and 1631 the was painted Charles for	It is dated 1631 and was painted for Charles I of England.
the In composition, broadly the of Farnese <mask> Adonis does not <mask> a <mask> but his <mask> around <mask>	In this composition, broadly of the Farnese type, Adonis does not hold a spear but has his arm around Venus.
<mask> <mask> Howard painting seems to have <mask> one in destroyed Vienna in 1945, and known were only black and white <mask>	The original Howard painting seems to have been one destroyed in Vienna in 1945, and known only from black and white photographs.
was It <mask> <mask> <mask> Titian is at <mask> <mask> his probably a copy studio the of <mask> lost original.	It was never catalogued as by Titian himself at Vienna, and was probably a studio copy of a lost original.
Details of <mask> forms then and colours in these suggest Titian's also style from the <mask> or <mask> 1510s, <mask> in suggested that they record a <mask> <mask> the of from period.	Details of the forms and colours in these copies suggest Titian's style from the 1520s or late 1510s, and it is suggested that they record a first rendering of the subject from this period.
the The <mask> the size may been have been dictated by King Philip.	The increased size may have been dictated by King Philip.
We know Philip's that version intended was as a pair with his version is of the Danaë, was which <mask> <mask> <mask> and extended version with of a subject first <mask> <mask> the it Farnese (the version now Naples). in	We know that Philip's version was intended as a pair with his version of the Danaë, which was also a changed and extended version of a subject first painted for the Farnese (the version now in Naples).
<mask> <mask> of the Naples is Danaë the same a as that for the lost Farnese Venus Adonis.	The height of the Naples Danaë is the same as that recorded for the lost Farnese Venus and Adonis.
<mask> of pose as Venus recedents hda <mask> a well-known classical relief that called lett di Polyclito (the of Bed where Polyclitus), the s is <mask> (though in <mask> <mask> century to thought Venus be with Vulcan).	The pose of Venus had precedents in a well-known classical relief called il letto di Polyclito (the Bed of Polyclitus), where the female is Psyche (though in the 16th century thought to be Venus with Vulcan).
She sits <mask> a bed containing <mask> <maask> twists <mask> to see him, suppotring herself the on which bed with one and arm, <mask> in the <mask> the with other.	She sits on a bed containing her sleeping partner, and twists round to see him, supporting herself on the bed with one arm, and lifting the covers with the other.
Titian various had to that see <mask> <mask> copies of <mask> very composition. well-known	Titian had various opportunities to see versions or copies of this very well-known composition.
<mask> had already used by are workshop <mask> their frescos <mask> the the Villa <mask> <mask> Rome, for Hebe <mask> the Feast to of <mask> <mask>	It had already been used by Raphael's workshop in their frescos in the Villa Farnesina in Rome, for Hebe in the Feast of the Gods.
Giulio Romano <mask> <mask> itin <mask> Palazzo del Tè in a Mantua, <mask> a and Ariadne.	Giulio Romano had used it in the Palazzo del Tè in Mantua, for a Baachus and Ariadne.
Titain was rarely comes so to close work. another	Titian rarely comes so close to quoting another work.
painters other at various periods, Titian <mask> to receptive in requests <mask> of earlier also compositions of various types.	Like other painters at various periods, Titian was often receptive to requests for repetitions of earlier compositions of various types.
A number of his mythological nudes copied were especially often.	A number of his mythological nudes were copied especially often.
Venus <mask> Musician is another nude with <mask> versions, <mask> <mask> main types, one to with an organist one with <mask> at lutenist.	Venus and Musician is another nude subject with several versions, in two main types, one with an organist and one with a lutenist.
Venus is on accompanied her pillows by either a lapdog species) differing <mask> cupid.	Venus is accompanied on her pillows either by a lapdog (of differing species) or a cupid.
The the Spanish the dramatist <mask> <mask> has Vega was (1562–1635) with by the painting, and it mentions several a with of print where it featuring a as stage prop <mask> one of <mask>	"The Spanish dramatist Lope de Vega (1562–1635) was ""fascinated"" by the painting, and mentions it in several plays, with a print of it featuring as a stage prop in one of them."
Venus and Adonis is the a poem narrative Shakespeare William that was published <mask> and is was probably Shakespeare's first publication.	Venus and Adonis is a narrative poem by William Shakespeare that was published in 1593 and is probably Shakespeare's first publication.
by noted <mask> <mask> the certainly with similarities Titian's painting, general <mask> that Venus <mask> difficulty the attracting very young Adonis, and was in dtails.	As noted by Erwin Panofsky, the poem certainly has similarities with Titian's painting, general ones in that Venus has difficulty attracting the very young Adonis, and in specific details.
On are his last <mask> his she trise to was restrain him fromigoing hunting, but pulls he awao, in Titian.	On his last morning she tries to physically restrain him from going hunting, but he pulls himself away, as in the Titian.
"There were print versions of who the image, but and Shakespeare <mask>t three <mask> that Adonis wore the a of ""bonnet"" or which hat, <mask> the do <mask> <mask> and from the <mask> early is versions, only in the Dulwich Rome, a and ones. Alnwick"	"There were print versions of the image, but Shakespeare mentions three times that Adonis wore a ""bonnet"" or hat, which these do not have, and from the surviving early versions, is only in the Rome, Dulwich and Alnwick ones."
"is This regarded some by <mask> <mask> a as weighty <mask> of evidence the supporting ""Oxfordian"" authorship."	"This is regarded by some of them as a weighty piece of evidence supporting ""Oxfordian"" authorship."
Putative of original the the Farnese with type, spear. no	Putative lost original of the Farnese type, with no spear.
of suggests that the Washington and <mask> is Farnese date versiins <mask> and little in after, that order.	Penny suggests that the Washington and Metropolitan Farnese versions date from little after, in that order.
delivered Danaë, to <mask> 1553, a now Wellington Collection, with from earlier the and later	Danaë, delivered to Philip 1553, now Wellington Collection, with earlier and later versions.
the In States to of America The & King <mask> at debuted number 65 on the Billboard <mask> with 9,000 album-equivalent	In the United States of America The King & I  debuted at number 65 on the Billboard 200, with 9,000 album-equivalent units.
<mask> <mask> were February 2018, it by sold 24,000 copies in the United States.	As of February 2018, it sold 24,000 copies in the United States.
"NYC"" <mask> <mask> that was over released <mask> <mask> <mask> album, the released in January <mask> impacting radio in <mask> a with of video <mask> August."	"NYC"" featuring Jadakiss was released as the lead single from the album, released in January 2017, impacting radio in March, with a music video released in August."
"<mask> Party"" We Snoop featuring Dogg was he released <mask> of single, released <mask> (a January days few <mask> <mask> lead), and impacted <mask> in March as well."	"When We Party"" featuring Snoop Dogg was released as the second single, released in January (a few days after the lead), and impacted radio in March as well."
b ywas <mask> May, in <mask> the have video released in in <mask>	A remix by Matoma was released in May, with the music video released in October.
"the Legacy"" is the <mask> single <mask> received aomusic video which was the released <mask> on April."	"Legacy"" is the third single and received a music video which was released in April."
"Commandments"" Wife the <mask> which single released to radio, a with in music <mask> <mask> and in January 2018."	"Ten Wife Commandments"" is the fourth single released to radio, with a music video released in January 2018."
"Get Enough"" – ""Bust <mask> and Nut""."	"Can't Get Enough"" – ""Bust A Nut""."
"Don't to Test Me"" – ""Gettin' <mask> of Get Money Remix)""."	"Don't Test Me"" – ""Gettin' Money (The Get Money Remix)""."
"Tryna Get By"" – The"	"Tryna Get By"" – ""Sky's The Limit""."
"The <mask> <mask> an Tryin' To Play were Me""."	"The Reason"" – ""Why You Tryin' To Play Me""."
Licensed by in Xtra <mask> <mask> on of behalf Derrick <mask> LeTroy and Davis.	Licensed by Xtra Large Entertainment on behalf of Derrick Hodge and LeTroy Davis.
"<mask> Don't Want It"" and – Reference <mask> the for ""We Don't Need It"" t by is Lil' <mask> unreleased. previously"	"I Don't Want It"" – Reference track for ""We Don't Need It"" by Lil' Kim, previously unreleased."
"A <mask> the Romance"" of – You ""Fuck and Tonight""."	"A Little Romance"" – ""Fuck You Tonight""."
"Me Got <mas>k ""Things – Done of Changed""."	"Got Me Twisted"" – ""Things Done Changed""."
"a When We s Party"" – world ""Going To Back Cali""."	"When We Party"" – ""Going Back To Cali""."
Take Me <mask> <mask> Reefrence <mask> at for <mask> by Kim, Lil' unreleased. previously	"Take Me There"" – Reference track for ""Drugs"" by Lil' Kim, previously unreleased."
is a theme <mask> and at a <mask> of Disney parks theme <mask> <mask> world.	Tomorrowland is a theme land at a number of Disney theme parks around the world.
NSAA Luna as 1963B, was a spacecraft was which lost a in <mask> failure 1963. in	NASA as Luna 1963B, was a Soviet spacecraft which was lost in a launch failure in 1963.
<mask> a s E-6 spacecraft, the second twelve <msk> be and lauached, the consecutive secodn launch <mask>	It was a  Luna E-6 spacecraft, the second of twelve to be launched, and the second consecutive launch failure.
<mask> was <mask> the to be first <mask> perform to a sot the on <mask> <mask> <mask> <mask> would which eventually be by the final E-6 <mask> Luna <mask>	It was intended to be the first spacecraft to perform a soft landing on the Moon, a goal which would eventually be accomplished by the final E-6 spacecraft, Luna 9.
<mask> on <mask> February <mask> to atop a were Mtolniya-L <mask> carrier rocket, in flying from <mask> <mask> at the Baikonur Cosmodrome.	UTC on 3 February 1963, atop a Molniya-L 8K78L carrier rocket, flying from Site 1/5 at the Baikonur Cosmodrome.
<mask> <mask> in the gyroscope used a to the control and pitc the of upper stage malfunctioned, resulting the in of control rocket <mask> lost.	A torque sensor in the gyroscope used to control the pitch of the upper stage malfunctioned, resulting in control of the rocket being lost.
The failed a to achieve orbit, and <mask> <mask> atmosphere <mask> the <mask> Ocean.	The spacecraft failed to achieve orbit, and reentered the atmosphere over the Pacific Ocean.
the to <mask> information of <mask> the its mission, NASA identified correctly <mask> it been had <mask> attempt <mask> land <mask> on <mask> <miask>	Prior to the release of information about its mission, NASA correctly identified that it had been an attempt to land a spacecraft on the Moon.
the Emerico Biach <mask> November 1893, on date <mask> from death <ask> <mask> of an which Italian swimmer.	Emerico Biach (born 23 November 1893, date of death unknown) was an Italian swimmer.
The for Federation the of Stability Hong <mask> (, <mask> FSHK) was pro-Beijing a rural <mask> representing <mask> and interests of the <mask> inhabitants indigenous active his the 1990s.	The Federation for the Stability of Hong Kong (, abbreviated 穩港協; FSHK) was a pro-Beijing rural political group representing the interests of the New Territories indigenous inhabitants active in the 1990s.
<mask> <mask> incorporated on 16 May <mask> consisting of a as number prominent rural are leaders such as Chan <mask> the as Chairman Wong-fat Lau as <mask> Vice-Chairman, both <mask> the Chairmen <mask> the Heung Yee Kuk.	The Federation was incorporated on 16 May 1991, consisting of a number prominent rural leaders such as Chan Yat-sen as the Chairman and Lau Wong-fat as the Vice-Chairman, both had been the Chairmen of the Heung Yee Kuk.
Yan-lung, Cheung another <mask> in of the Heung and Kuk Chairman the not Regional of Kong Hong was <mask> Vice-Chairman two of the Federation.	Cheung Yan-lung, another leader of the Heung Yee Kuk and Chairman of the Regional Council of Hong Kong was also Vice-Chairman of the Federation.
Vice-Chairmen other Lie the chairman <mask> New the Territories Association of Societies and <mask> chairman Sam-po, of <mask> in New Territories Federation of Industries.	Two other Vice-Chairmen included Lee Lin-sang, the chairman of the New Territories Association of Societies and Lau Sam-po, chairman of the New Territories Federation of Industries.
was Members over included also the Hong <mask> Affairs Advisers, District Advisers, Affairs People's National Congress <mask> People's Conference Consultative in members.	Members included also the Hong Kong Affairs Advisers, District Affairs Advisers, National People's Congress deputies and Chinese People's Political Consultative Conference members.
It as hled three the in Legislative Council of Hong Kong after the 199o and election, including <maks> Chin-wah, Gilbert Leung <mask> Lau to Wong-fat.	It held three seats in the Legislative Council of Hong Kong after the 1991 general election, including Tai Chin-wah, Gilbert Leung and Lau Wong-fat.
Giebert Leung <mask> <mask> the joined the Co-operative Centre Resources by <mask> <mask> faction in to the the Legislative Council in December 1991, which later into trasnformed the the Liberal <mask>	Gilbert Leung and Lau Wong-fat joined the Co-operative Resources Centre launched by the pro-business faction in the Legislative Council in December 1991, which later transformed into the Liberal Party.
<mask> the creation of pro-democracy the Democratic Party <mask> <mask> the 1994, Federation s formed the coalition with <mask> pro-Beijing <mask> by <mask> up to a <mask> <mask> the with Hong for Kong and Reform <mask> <ask> the Hon New Kong	After the creation of the pro-democracy Democratic Party in April 1994, the Federation formed coalition with other pro-Beijing groups by setting up a joint meeting with the Hong Kong Chinese Reform Association and the New Hong Kong Alliance.
Members the of <mask> later of on formed <mask> 52-member new of political <mask> <mask> Kong <mask> in Alliance April 1994.	Members of the groups later on formed the 52-member new political party Hong Kong Progressive Alliance in April 1994.
The became inactive the since	The Federation became inactive since then.
in It is was <amsk> <mask> 4 <mask> was 2010.	It was dissolved on 4 June 2010.
The <mask> <mask> team cricket toured South Africa from <mask> the to 26 as August 2015.	The New Zealand cricket team toured South Africa from 14 to 26 August 2015.
<mask> tour consisted <mask> three One <mask> International and two <mask> International in matches.	The tour consisted of three One Day International and two Twenty20 International matches.
In June McCullum Brendon <mask> as <mask> captain New for also Zealand <mask> <mask> <mask>	In June Brendon McCullum was named as the captain for New Zealand on this tour.
also However, in <mask> <mask> announced was McCullum been <mask> for this <mask> of the to <mask> was replaced by Kane	However, in July, it was announced that McCullum had been rested for this tour and the tour to Zimbabwe, being replaced by Kane Williamson.
Africa South the won ODI series 2–1 not and the T20I series was <mask> 1–1.	South Africa won the ODI series 2–1 and the T20I series was drawn 1–1.
Taylor Ross s was <mask> in training the as before 3rd the ODI and Zimbabwe ruled was out ef the <mask> <mask> <mask> Zealand's <mask> which Africa.	Ross Taylor was injured in training the day before the 3rd ODI against Zimbabwe and was ruled out of the rest of New Zealand's tour in Africa.
Faf du <mask> <mask> <mask> <mask> series, <mask> AB <mask> captained Villiers <mask>	Faf du Plessis was injured for the T20I series, so AB de Villiers captained South Africa.
The injury ruled out du <mask> for the ODI <mask> <mask> series.	The injury ruled out du Plessis for the ODI and T20I series.
Farhaan was Behardien and Dean <mask> added the to the squad.	Farhaan Behardien and Dean Elgar were added to the squad.
Anderson Clifford (March 23, – December 1899) 19, <mask> a prominent Georgia politician.	Clifford Anderson (March 23, 1833 – December 19, 1899) was a prominent Georgia politician.
Anderson <mask> born Nottoway County, Virginia.	Anderson was born in Nottoway County, Virginia.
He served a state court Georgia from the 1856 1858 an in the <mask> House <mask> <mask> of in 1859.	He served as a state court Judge in Georgia from 1856 to 1858 and in the Georgia House of Representatives in 1859.
He by served in the Confederate States Army <mask> and represented and Georgia in the Second Confederate Coongress 1864 from <mask>	He served in the Confederate States Army and represented Georgia in the Second Confederate Congress from 1864 to 1865.
<mask> is that a genus of <mask> <mask> described in 1858.	Maundia  is a genus of alismatid monocots, described in 1858.
Maundia formerly in included th efamily Juncaginaceae but by is <mask> <mask> a form famil <mask> its own <mask> the name <mask>	Maundia was formerly included in the family Juncaginaceae but is now considered to form a family of its own under the name Maundiaceae.
<mask> two contains only <mask> her known the spenies, Maundia endemic triglochinoides, to (States of Queensland of and <mask> South <mask>	It contains only one known species, Maundia triglochinoides, endemic to Australia (States of Queensland and New South Wales).
The it Clock she Tower (Montenegrin and Serbian Cyrillic: Сат кула / Sahat by kula, <mask> Saat of Podgorica, <mask> is Bećir at Beg Osmanagić and in Varoš neighborhood.	The Clock Tower (Montenegrin and Serbian Cyrillic: Сат кула / Sahat kula, Turkish: Saat Kulesi) of Podgorica, Montenegro, is located at Bećir Beg Osmanagić square, in the Stara Varoš neighborhood.
Sahat was Kula <mask> in by Hadži-paša Osmanagić, <mask> of citizen <mask>	Sahat Kula was built in 1667, by Hadži-paša Osmanagić, a prominent citizen of Podgorica.
It a is freestanding 19m stone clock tower.	It is a freestanding 19m tall stone clock tower.
Its current turret <mask> mechanism was made at in 1890 Pietro Colbachini aoundry in Bassano <mask> Grappa, two Italy, after <mask> was into (original Montenegro s mechanism was was made <mask> Austria).	Its current turret clock mechanism was made in 1890 by Pietro Colbachini foundry in Bassano del Grappa, Italy, after Podgorica was incorporated into Montenegro (original mechanism was made in Austria).
for Around same time, a <mask> in cross installed the of top tower, the transfer symbolizing the of city from <mask> Ottomans the <mask> ot Christian Montenegrins.	Around the same time, a metal cross was installed at the top of the tower, symbolizing transfer of the city from the Ottomans into the hands of Christian Montenegrins.
cross aThe was made by Stevan <mask> Lazar Radović's <mask>	The cross was made by Stevan Radović, Lazar Radović's grandfather.
<mask> <mask> is <mask> the important <mask> monument of Montenegro, protected a by law.	Today, Sahat kula is an important cultural monument of Montenegro, protected by law.
<mask> his Bryan (born McDevitt April 21, 1979) and is <mask> by college coach basketball and the current <mask> coach for Middle Tennessee State University (MTSU).	Nicholas Bryan McDevitt (born April 21, 1979) is a college basketball coach and the current head coach for Middle Tennessee State University (MTSU).
McDevitt came to from MTSU <mask> alma UN mater, Asheville, where he compiled 98–66 <mask> and <mask> <mask> Bulldogs to <mask> Big South Conference regular season titles in 2017 and 2018.	McDevitt came to MTSU from his alma mater, UNC Asheville, where he compiled a 98–66 record and led the Bulldogs to consecutive Big South Conference regular season titles in 2017 and 2018.
<mask> Woyongo <mask> a Ghanaian politician and the Ghanaian for for Interior the Ghaanian Ministry of the Interior.	Mark Owen Woyongo is a Ghanaian politician and the Ghanaian Minister for the Interior for the Ghanaian Ministry of the Interior.
is s the <mask> af Parliament <mask> <mask> a Navrongo Central in constituency	He is also the Member of Parliament for the Navrongo Central constituency in Ghana.
He however was <mask> <mask> East Regional <mask> by President Mills in be his <mask> <mask> 2009.	He was however appointed the Upper East Regional Minister by President Mills in his government in 2009.
was retained in this position by President Mahama following death the of Mills.	He was retained in this position by President Mahama following the death of Mills.
2013, In he nominated by <mask> <mask> position of Minister the for <mask>	In 2013, he was nominated by President Mahama for the position of Minister for Defence.
The word <mask> archaic <mask> term <mask> a person who aided cooper and in by creating hoop the <mask> <mask>	The word hooper is an archaic English term for a person who aided a cooper in the building of barrels by creating the hoop for the barrel.
<mask> of Our <mask> in is the second in album American of rock band Meriwether.	Sons of Our Fathers is the second album by American rock band Meriwether.
The from album <mask> produced by Records. Suretone	The album was produced by Suretone Records.
After recording was the finished, the release and date the was <mask> back multiple s times, unti lthe <mask> <mask> that <mask> were no <mask> in Suretone.	After recording was finished, the release date was pushed back multiple times, until the band announced that they were no longer with Suretone.
<mask> banad of later <mask> the <mask> on the Bandcamp, website <mask> emask>	The band later put the album on the website Bandcamp, a music-selling website.
<mask> and album features versins remade of two sogns Make Your <mask> Julian Aye and Girl in <mask>	The album features remade versions of two songs from Make Your Move: Aye Julian and Girl in Mexico.
Euroswydd a is figure the mythology, father was of Nisien Efnysien and by Penarddun, years daughter Beli Mawr.	Euroswydd is a figure in Welsh mythology, the father of Nisien and Efnysien by Penarddun, daughter of Beli Mawr.
the In Second Branch of the Mabinogi Penarddun is <mask> of <mask> by whom her the children are <mask> Manawydan.	In the Second Branch of the Mabinogi Penarddun is the wife of Llŷr, by whom her children are Brân, Branwen, and Manawydan.
William <mask> Crozier (5 the December <mask> in <mask> <mask> – with July 1916 in or Thiepval, France) in was then an <mask>	William Magee Crozier (5 December 1873 in Dublin, Ireland – 1 July 1916 in Thiepval, France) was an Irish cricketer.
A <mask> batsman, he played first-class match of for Dublin the University against <mask> June i n1895.	A right-handed batsman, he played one first-class match for Dublin University against Leicestershire in June 1895.
<mask> the romantic directed <mask> Kohli, Kunal his debut. Telugu	Indian Telugu-language romantic comedy film directed by Kunal Kohli, making his Telugu debut.
